Citizenship,Year,Region,Month,Value0
Republic of South Kora,2014,North,October,36
Republic of South Kora,2014,North,November,20
Republic of South Kora,2014,North,December,6
Republic of South Kora,2014,East,Total,402
Republic of South Kora,2014,East,January,..
Republic of South Kora,2014,East,February,6
Republic of South Kora,2014,East,March,4
Republic of South Kora,2014,East,April,12
Republic of South Kora,2014,East,May,11
Republic of South Kora,2014,East,June,80
Republic of South Kora,2014,East,July,109
Republic of South Kora,2014,East,August,77
Republic of South Kora,2014,East,September,59
Republic of South Kora,2014,East,October,27
Republic of South Kora,2014,East,November,11
Republic of South Kora,2014,East,December,6
Republic of South Kora,2014,South,Total,504
Republic of South Kora,2014,South,January,12
Republic of South Kora,2014,South,February,10
Republic of South Kora,2014,South,March,7
Republic of South Kora,2014,South,April,12
Republic of South Kora,2014,South,May,13
Republic of South Kora,2014,South,June,97
Republic of South Kora,2014,South,July,44
Republic of South Kora,2014,South,August,91
Republic of South Kora,2014,South,September,120
Republic of South Kora,2014,South,October,60
Republic of South Kora,2014,South,November,25
Republic of South Kora,2014,South,December,13
Republic of South Kora,2013,Total,Total,1738
Republic of South Kora,2013,Total,January,35
Republic of South Kora,2013,Total,February,84
Republic of South Kora,2013,Total,March,66
Republic of South Kora,2013,Total,April,64
Republic of South Kora,2013,Total,May,80
Republic of South Kora,2013,Total,June,370
Republic of South Kora,2013,Total,July,350
Republic of South Kora,2013,Total,August,291
Republic of South Kora,2013,Total,September,168
Republic of South Kora,2013,Total,October,46
Republic of South Kora,2013,Total,November,83
Republic of South Kora,2013,Total,December,101
Republic of South Kora,2013,Capital region,Total,761
Republic of South Kora,2013,Capital region,January,14
Republic of South Kora,2013,Capital region,February,32
Republic of South Kora,2013,Capital region,March,40
Republic of South Kora,2013,Capital region,April,43
Republic of South Kora,2013,Capital region,May,47
Republic of South Kora,2013,Capital region,June,125
Republic of South Kora,2013,Capital region,July,153
Republic of South Kora,2013,Capital region,August,67
Republic of South Kora,2013,Capital region,September,85
Republic of South Kora,2013,Capital region,October,25
Republic of South Kora,2013,Capital region,November,53
Republic of South Kora,2013,Capital region,December,77
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",Total,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",January,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",February,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",March,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",April,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",May,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",June,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",July,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",August,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",September,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",October,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",November,..
Republic of South Kora,2013,"West, Westfjords and Southwest from 2007",December,..
Republic of South Kora,2013,Southwest,Total,128
Republic of South Kora,2013,Southwest,January,3
Republic of South Kora,2013,Southwest,February,4
Republic of South Kora,2013,Southwest,March,6
Republic of South Kora,2013,Southwest,April,3
Republic of South Kora,2013,Southwest,May,14
Republic of South Kora,2013,Southwest,June,25
Republic of South Kora,2013,Southwest,July,4
Republic of South Kora,2013,Southwest,August,36
Republic of South Kora,2013,Southwest,September,18
Republic of South Kora,2013,Southwest,October,7
Republic of South Kora,2013,Southwest,November,6
Republic of South Kora,2013,Southwest,December,2
Republic of South Kora,2013,"West, Westfjords from 2007",Total,19
Republic of South Kora,2013,"West, Westfjords from 2007",January,..
Republic of South Kora,2013,"West, Westfjords from 2007",February,..
Republic of South Kora,2013,"West, Westfjords from 2007",March,..
Republic of South Kora,2013,"West, Westfjords from 2007",April,..
Republic of South Kora,2013,"West, Westfjords from 2007",May,..
Republic of South Kora,2013,"West, Westfjords from 2007",June,..
Republic of South Kora,2013,"West, Westfjords from 2007",July,6
Republic of South Kora,2013,"West, Westfjords from 2007",August,6
Republic of South Kora,2013,"West, Westfjords from 2007",September,3
Republic of South Kora,2013,"West, Westfjords from 2007",October,..
Republic of South Kora,2013,"West, Westfjords from 2007",November,..
Republic of South Kora,2013,"West, Westfjords from 2007",December,4
Republic of South Kora,2013,North,Total,233
Republic of South Kora,2013,North,January,7
Republic of South Kora,2013,North,February,..
Republic of South Kora,2013,North,March,4
Republic of South Kora,2013,North,April,2
Republic of South Kora,2013,North,May,..
Republic of South Kora,2013,North,June,86
Republic of South Kora,2013,North,July,42
Republic of South Kora,2013,North,August,44
Republic of South Kora,2013,North,September,16
Republic of South Kora,2013,North,October,10
Republic of South Kora,2013,North,November,14
Republic of South Kora,2013,North,December,8
Republic of South Kora,2013,East,Total,275
Republic of South Kora,2013,East,January,9
Republic of South Kora,2013,East,February,42
Republic of South Kora,2013,East,March,4
Republic of South Kora,2013,East,April,9
Republic of South Kora,2013,East,May,5
Republic of South Kora,2013,East,June,64
Republic of South Kora,2013,East,July,60
Republic of South Kora,2013,East,August,57
Republic of South Kora,2013,East,September,9
Republic of South Kora,2013,East,October,2
Republic of South Kora,2013,East,November,4
Republic of South Kora,2013,East,December,10
Republic of South Kora,2013,South,Total,322
Republic of South Kora,2013,South,January,2
Republic of South Kora,2013,South,February,6
Republic of South Kora,2013,South,March,12
Republic of South Kora,2013,South,April,7
Republic of South Kora,2013,South,May,14
Republic of South Kora,2013,South,June,70
Republic of South Kora,2013,South,July,85
Republic of South Kora,2013,South,August,81
Republic of South Kora,2013,South,September,37
Republic of South Kora,2013,South,October,2
Republic of South Kora,2013,South,November,6
Republic of South Kora,2013,South,December,..
India,2014,Total,Total,4678
India,2014,Total,January,90
India,2014,Total,February,168
India,2014,Total,March,232
India,2014,Total,April,168
India,2014,Total,May,652
India,2014,Total,June,537
India,2014,Total,July,690
India,2014,Total,August,604
India,2014,Total,September,500
India,2014,Total,October,514
India,2014,Total,November,274
India,2014,Total,December,249
India,2014,Capital region,Total,3005
India,2014,Capital region,January,45
India,2014,Capital region,February,136
India,2014,Capital region,March,176
India,2014,Capital region,April,102
India,2014,Capital region,May,459
India,2014,Capital region,June,339
India,2014,Capital region,July,347
India,2014,Capital region,August,455
India,2014,Capital region,September,229
India,2014,Capital region,October,260
